"event-id","visible","timestamp","location-long","location-lat","gps:hdop","gps:satellite-count","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","GlobCover 2009 2009 Land-Cover Classification"
"3942427217","true","2016-10-22 00:00:00.000","-80.41918","25.50246","1.8","6","gps","","6","2671-02024","grcaMigration-Ryder","20"
"3942427218","true","2016-10-28 00:00:00.000","-80.41944","25.50227","3.7","5","gps","","6","2671-02024","grcaMigration-Ryder","20"
"3942427219","true","2016-11-22 00:00:00.000","-80.4192","25.50243","1.3","7","gps","","6","2671-02024","grcaMigration-Ryder","20"
"3942427220","true","2016-12-06 00:00:00.000","-80.41955","25.50231","1.9","6","gps","","6","2671-02024","grcaMigration-Ryder","20"
"3942427221","true","2016-12-13 00:00:00.000","-80.4191","25.50272","4.1","5","gps","","6","2671-02024","grcaMigration-Ryder","20"
"3942427222","true","2016-12-20 00:00:00.000","-80.41925","25.50243","8.2","4","gps","","6","2671-02024","grcaMigration-Ryder","20"
"3942427223","true","2016-12-27 00:00:00.000","-80.41925","25.50249","1.1","7","gps","","6","2671-02024","grcaMigration-Ryder","20"
"3942427224","true","2017-01-03 00:00:00.000","-80.41922","25.50238","1.5","6","gps","","6","2671-02024","grcaMigration-Ryder","20"
"3942427225","true","2017-01-17 00:00:00.000","-80.41941","25.50253","3.3","5","gps","","6","2671-02024","grcaMigration-Ryder","20"
"3942427226","true","2017-01-31 00:00:00.000","-80.42004","25.50283","1.3","7","gps","","6","2671-02024","grcaMigration-Ryder","20"
"3942427227","true","2017-02-07 00:00:00.000","-80.41925","25.50253","4.0","5","gps","","6","2671-02024","grcaMigration-Ryder","20"
"3942427228","true","2016-07-25 00:00:00.000","-77.04137","39.05226","2.7","4","gps","","7","2671-02021","grcaMigration-Ryder","70"
"3942427229","true","2016-09-04 00:00:00.000","-77.0413","39.05206","2.8","6","gps","","7","2671-02021","grcaMigration-Ryder","70"
"3942427230","true","2016-09-13 00:00:00.000","-77.04155","39.05193","2.6","5","gps","","7","2671-02021","grcaMigration-Ryder","70"
"3942427231","true","2016-09-19 00:00:00.000","-77.03983","39.05324","1.7","6","gps","","7","2671-02021","grcaMigration-Ryder","70"
"3942427232","true","2016-10-04 00:00:00.000","-79.62426","34.89352","2.3","5","gps","","7","2671-02021","grcaMigration-Ryder","50"
"3942427233","true","2016-10-07 00:00:00.000","-82.5554","29.87898","1.6","5","gps","","7","2671-02021","grcaMigration-Ryder","50"
"3942427234","true","2016-10-10 00:00:00.000","-83.22037","29.45714","1.4","6","gps","","7","2671-02021","grcaMigration-Ryder","50"
